Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,price/km,luxury,eco,relative_age
Toyota,Prius,2011,Hatchback,195000.0,1800.0,Hybrid,Automatic,7750.0,11,17727.272727272728,0.03974358974358974,no,yes,old
Renault,Grand Scenic,2014,Universal,135000.0,1500.0,Diesel,Manual,8550.0,8,16875.0,0.06333333333333334,no,no,kind_old
Renault,Laguna,2012,Universal,110000.0,1500.0,Diesel,Manual,6550.0,10,11000.0,0.05954545454545455,no,no,kind_old
Opel,Astra,2006,Universal,200000.0,1600.0,Metan/Propan,Manual,4100.0,16,12500.0,0.0205,no,no,old
Mercedes,Vito,2000,Microvan,300000.0,2200.0,Diesel,Manual,3490.0,22,13636.363636363636,0.011633333333333334,no,no,old
Volkswagen,Passat,2010,Universal,290000.0,1390.0,Petrol,Manual,5600.0,12,24166.666666666668,0.019310344827586208,no,no,old
Volkswagen,Touareg,2010,SUV,220000.0,2400.0,Diesel,Automatic,17000.0,12,18333.33333333333,0.07727272727272727,yes,no,old
Mercedes,Series (W124),1991,Sedan,240000.0,2300.0,Petrol,Manual,2850.0,31,7741.935483870968,0.011875,no,no,old
BMW,5 Series,2004,Sedan,325000.0,300.0,Diesel,Manual,3400.0,18,18055.555555555555,0.010461538461538461,no,no,old
Mercedes,E Class,2010,Sedan,210000.0,2200.0,Diesel,Automatic,11400.0,12,17500.0,0.054285714285714284,no,no,old
Mercedes,Rare,2006,Coupe,300000.0,3200.0,Diesel,Automatic,11800.0,16,18750.0,0.03933333333333333,no,no,old
BMW,7 Series,1998,Sedan,285000.0,3500.0,Petrol,Manual,3990.0,24,11875.0,0.014,no,no,old
Volkswagen,Golf,2007,Universal,238371.0,1400.0,Petrol,Automatic,5000.0,15,15891.4,0.02097570593738332,no,no,old
Volkswagen,Rare,2010,Hatchback,150000.0,1200.0,Petrol,Manual,5500.0,12,12500.0,0.03666666666666667,no,no,old
Volvo,XC60,2012,Crossover,180000.0,2400.0,Diesel,Automatic,15900.0,10,18000.0,0.08833333333333333,yes,no,kind_old
Nissan,Qashqai,2011,Crossover,251000.0,1500.0,Diesel,Manual,8300.0,11,22818.18181818182,0.033067729083665336,no,no,old
Hyundai,Matrix,2005,Universal,383000.0,1500.0,Diesel,Manual,3200.0,17,22529.41176470588,0.00835509138381201,no,no,old
Audi,Rare,2009,Hatchback,248000.0,2000.0,Diesel,Automatic,9299.0,13,19076.92307692308,0.03749596774193548,no,no,old
Mercedes,E Class,2004,Universal,315000.0,1800.0,Metan/Propan,Manual,6900.0,18,17500.0,0.021904761904761906,no,no,old
GAZ,Rare,1992,Sedan,68000.0,2445.0,Petrol,Manual,2222.0,30,2266.6666666666665,0.03267647058823529,no,no,old
Renault,Megane,2011,Universal,171000.0,1500.0,Diesel,Manual,5700.0,11,15545.454545454546,0.03333333333333333,no,no,old
Tesla,Rare,2013,Hatchback,113000.0,0.0,Electric,Automatic,27000.0,9,12555.555555555557,0.23893805309734514,yes,yes,kind_old
Mercedes,E Class,2014,Sedan,275500.0,2200.0,Diesel,Automatic,18350.0,8,34437.5,0.06660617059891107,yes,no,kind_old
Lincoln,Rare,2017,Sedan,157000.0,1998.0,Hybrid,Automatic,17800.0,5,31400.0,0.11337579617834395,no,yes,kind_old
Lexus,NX Series,2017,Crossover,76000.0,1998.0,Petrol,Automatic,27999.0,5,15200.0,0.3684078947368421,no,no,kind_old
Dodge,Rare,2008,Hatchback,113486.0,1998.0,Metan/Propan,Automatic,4495.0,14,8106.142857142857,0.03960840984791075,no,no,old
Audi,100,1993,Sedan,235000.0,2000.0,Petrol,Manual,2950.0,29,8103.448275862069,0.012553191489361702,no,no,old
Porsche,Cayenne,2012,Crossover,253444.0,3000.0,Diesel,Automatic,30222.0,10,25344.4,0.11924527706317767,yes,no,kind_old
Lexus,RX Series,2009,SUV,250000.0,3500.0,Hybrid,Automatic,17990.0,13,19230.76923076923,0.07196,yes,yes,old
Volkswagen,Passat,2012,Sedan,179000.0,1400.0,Metan/Propan,Automatic,9800.0,10,17900.0,0.054748603351955305,no,no,kind_old
BMW,Rare,2015,Crossover,169777.0,2000.0,Diesel,Automatic,16888.0,7,24253.85714285714,0.09947165988325862,no,no,kind_old
Mercedes,Rare,2017,Crossover,71333.0,2500.0,Diesel,Automatic,43404.0,5,14266.6,0.6084701330380049,yes,no,kind_old
Opel,Vectra,1994,Sedan,340000.0,1800.0,Petrol,Manual,1500.0,28,12142.857142857143,0.004411764705882353,no,no,old
BMW,7 Series,2007,Sedan,300000.0,3000.0,Diesel,Automatic,11500.0,15,20000.0,0.03833333333333333,no,no,old
Volkswagen,Touran,2004,Minivan,280000.0,200.0,Diesel,Automatic,5300.0,18,15555.555555555557,0.01892857142857143,no,no,old
Volkswagen,Passat,2010,Universal,228000.0,1400.0,Metan/Propan,Automatic,5700.0,12,19000.0,0.025,no,no,old
Toyota,Auris,2010,Sedan,185000.0,1400.0,Diesel,Manual,6500.0,12,15416.666666666666,0.03513513513513514,no,no,old
Nissan,Qashqai,2009,Hatchback,200415.0,1500.0,Diesel,Manual,6200.0,13,15416.53846153846,0.030935808197989172,no,no,old
BMW,3 Series,2016,Minivan,136000.0,2000.0,Diesel,Automatic,13200.0,6,22666.666666666668,0.09705882352941177,no,no,kind_old
BMW,5 Series,2003,Sedan,250000.0,3000.0,Petrol,Automatic,7490.0,19,13157.894736842103,0.02996,no,no,old
Dacia,Logan,2014,Sedan,195000.0,1200.0,Metan/Propan,Manual,3999.0,8,24375.0,0.020507692307692307,no,no,kind_old
Dacia,Duster,2015,SUV,170000.0,1500.0,Diesel,Manual,8800.0,7,24285.714285714286,0.05176470588235294,no,no,kind_old
Volkswagen,Golf,2010,Universal,191500.0,1400.0,Petrol,Manual,5700.0,12,15958.333333333334,0.029765013054830286,no,no,old
Volkswagen,Passat,1991,Sedan,292000.0,1800.0,Petrol,Manual,1150.0,31,9419.354838709678,0.003938356164383562,no,no,old
BMW,3 Series,2004,Sedan,250000.0,2000.0,Diesel,Manual,4499.0,18,13888.888888888889,0.017996,no,no,old
Nissan,Qashqai,2015,Crossover,158000.0,1500.0,Diesel,Manual,11750.0,7,22571.42857142857,0.07436708860759493,no,no,kind_old
Peugeot,Rare,2018,Crossover,132000.0,1500.0,Diesel,Automatic,16500.0,4,33000.0,0.125,no,no,kind_old
BMW,X5,2005,SUV,260500.0,3000.0,Petrol,Automatic,8999.0,17,15323.529411764706,0.03454510556621881,no,no,old
Renault,Megane,2005,Universal,11111.0,1500.0,Diesel,Manual,3200.0,17,653.5882352941177,0.2880028800288003,no,no,old
Nissan,Qashqai,2013,SUV,180000.0,1500.0,Diesel,Manual,8999.0,9,20000.0,0.049994444444444446,no,no,kind_old
Ford,Transit Connect,2012,Minivan,151658.0,1800.0,Diesel,Manual,3899.0,10,15165.8,0.0257091614026296,no,no,kind_old
Renault,Scenic,2015,Microvan,185480.0,1461.0,Diesel,Manual,7550.0,7,26497.14285714286,0.040705197325857236,no,no,kind_old
BMW,7 Series,2009,Sedan,215210.0,3000.0,Diesel,Automatic,16500.0,13,16554.615384615383,0.07666929975372892,yes,no,old
Volkswagen,Polo,2007,Hatchback,305988.0,1400.0,Diesel,Manual,3250.0,15,20399.2,0.010621331555485836,no,no,old
BMW,5 Series,2014,Sedan,231250.0,2000.0,Diesel,Automatic,18000.0,8,28906.25,0.07783783783783783,no,no,kind_old
Vaz,2121niva,2004,Minivan,12000.0,1700.0,Petrol,Manual,1800.0,18,666.6666666666666,0.15,no,no,old
BMW,5 Series,1998,Sedan,11111.0,2500.0,Petrol,Manual,3200.0,24,462.9583333333333,0.2880028800288003,no,no,old
Nissan,Rare,2014,Hatchback,87100.0,1200.0,Petrol,Manual,7950.0,8,10887.5,0.0912743972445465,no,no,kind_old
Toyota,Avensis,2000,Sedan,420000.0,1600.0,Metan/Propan,Manual,2999.0,22,19090.90909090909,0.00714047619047619,no,no,old
