Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,price/km,luxury,eco,relative_age
40,93,2011,4,195000.0,1800.0,2,0,7750.0,11,17727.272727272728,0.03974358974358974,0,1,1
31,62,2014,11,135000.0,1500.0,0,1,8550.0,8,16875.0,0.06333333333333334,0,0,0
31,71,2012,11,110000.0,1500.0,0,1,6550.0,10,11000.0,0.05954545454545455,0,0,0
28,23,2006,11,200000.0,1600.0,3,1,4100.0,16,12500.0,0.0205,0,0,1
23,127,2000,5,300000.0,2200.0,0,1,3490.0,22,13636.363636363636,0.011633333333333334,0,0,1
42,89,2010,11,290000.0,1390.0,4,1,5600.0,12,24166.666666666668,0.019310344827586208,0,0,1
42,118,2010,9,220000.0,2400.0,0,0,17000.0,12,18333.33333333333,0.07727272727272727,1,0,1
23,110,1991,10,240000.0,2300.0,4,1,2850.0,31,7741.935483870968,0.011875,0,0,1
2,9,2004,10,325000.0,300.0,0,1,3400.0,18,18055.555555555555,0.010461538461538461,0,0,1
23,48,2010,10,210000.0,2200.0,0,0,11400.0,12,17500.0,0.054285714285714284,0,0,1
23,102,2006,2,300000.0,3200.0,0,0,11800.0,16,18750.0,0.03933333333333333,0,0,1
2,12,1998,10,285000.0,3500.0,4,1,3990.0,24,11875.0,0.014,0,0,1
42,61,2007,11,238371.0,1400.0,4,0,5000.0,15,15891.4,0.02097570593738332,0,0,1
42,102,2010,4,150000.0,1200.0,4,1,5500.0,12,12500.0,0.03666666666666667,0,0,1
43,132,2012,3,180000.0,2400.0,0,0,15900.0,10,18000.0,0.08833333333333333,1,0,0
27,96,2011,3,251000.0,1500.0,0,1,8300.0,11,22818.18181818182,0.033067729083665336,0,0,1
14,80,2005,11,383000.0,1500.0,0,1,3200.0,17,22529.41176470588,0.00835509138381201,0,0,1
1,102,2009,4,248000.0,2000.0,0,0,9299.0,13,19076.92307692308,0.03749596774193548,0,0,1
23,48,2004,11,315000.0,1800.0,3,1,6900.0,18,17500.0,0.021904761904761906,0,0,1
12,102,1992,10,68000.0,2445.0,4,1,2222.0,30,2266.6666666666665,0.03267647058823529,0,0,1
31,81,2011,11,171000.0,1500.0,0,1,5700.0,11,15545.454545454546,0.03333333333333333,0,0,1
39,102,2013,4,113000.0,0.0,1,0,27000.0,9,12555.555555555557,0.23893805309734514,1,1,0
23,48,2014,10,275500.0,2200.0,0,0,18350.0,8,34437.5,0.06660617059891107,1,0,0
21,102,2017,10,157000.0,1998.0,2,0,17800.0,5,31400.0,0.11337579617834395,0,1,0
20,85,2017,3,76000.0,1998.0,4,0,27999.0,5,15200.0,0.3684078947368421,0,0,0
9,102,2008,4,113486.0,1998.0,3,0,4495.0,14,8106.142857142857,0.03960840984791075,0,0,1
1,0,1993,10,235000.0,2000.0,4,1,2950.0,29,8103.448275862069,0.012553191489361702,0,0,1
30,39,2012,3,253444.0,3000.0,0,0,30222.0,10,25344.4,0.11924527706317767,1,0,0
20,98,2009,9,250000.0,3500.0,2,0,17990.0,13,19230.76923076923,0.07196,1,1,1
42,89,2012,10,179000.0,1400.0,3,0,9800.0,10,17900.0,0.054748603351955305,0,0,0
2,102,2015,3,169777.0,2000.0,0,0,16888.0,7,24253.85714285714,0.09947165988325862,0,0,0
23,102,2017,3,71333.0,2500.0,0,0,43404.0,5,14266.6,0.6084701330380049,1,0,0
28,124,1994,10,340000.0,1800.0,4,1,1500.0,28,12142.857142857143,0.004411764705882353,0,0,1
2,12,2007,10,300000.0,3000.0,0,0,11500.0,15,20000.0,0.03833333333333333,0,0,1
